hh_id,survey_year,data_source,rural,agent_time_min,settlement
1,2019,FinScope,0,,10201
26,2019,FinScope,0,,10201
55,2019,FinScope,0,15.0,10201
77,2019,FinScope,0,,10201
102,2019,FinScope,0,,10201
127,2019,FinScope,0,,10201
153,2019,FinScope,0,,10201
176,2019,FinScope,0,5.0,10201
201,2019,FinScope,0,15.0,11301
226,2019,FinScope,0,,11301
252,2019,FinScope,0,,11301
277,2019,FinScope,0,25.5,11301
302,2019,FinScope,0,,11301
326,2019,FinScope,0,5.0,11301
351,2019,FinScope,0,,11301
376,2019,FinScope,0,,11301
401,2019,FinScope,0,,12201
427,2019,FinScope,0,,12201
452,2019,FinScope,0,,12201
477,2019,FinScope,0,,12201
513,2019,FinScope,0,25.5,12201
526,2019,FinScope,0,15.0,12201
551,2019,FinScope,0,,12201
576,2019,FinScope,0,,12201
607,2019,FinScope,0,15.0,20101
628,2019,FinScope,0,15.0,20101
653,2019,FinScope,0,15.0,20101
679,2019,FinScope,0,,20101
702,2019,FinScope,0,15.0,20101
729,2019,FinScope,0,,20101
752,2019,FinScope,0,,20101
776,2019,FinScope,0,15.0,20101
809,2019,FinScope,0,,21202
836,2019,FinScope,0,25.5,21202
852,2019,FinScope,0,,21202
882,2019,FinScope,0,,21202
902,2019,FinScope,0,,21202
926,2019,FinScope,0,45.5,21202
952,2019,FinScope,0,,21202
976,2019,FinScope,0,15.0,21202
1001,2019,FinScope,0,25.5,21301
1026,2019,FinScope,0,25.5,21301
1056,2019,FinScope,0,5.0,21301
1084,2019,FinScope,0,,21301
1102,2019,FinScope,0,,21301
1132,2019,FinScope,0,90.0,21301
1152,2019,FinScope,0,,21301
1176,2019,FinScope,0,25.5,21301
1202,2019,FinScope,0,15.0,22101
1235,2019,FinScope,0,,22101
1259,2019,FinScope,0,,22101
1280,2019,FinScope,0,,22101
1303,2019,FinScope,0,,22101
1326,2019,FinScope,0,15.0,22101
1354,2019,FinScope,0,15.0,22101
1377,2019,FinScope,0,,22101
1401,2019,FinScope,0,,22101
1426,2019,FinScope,0,,22101
