SETTLEMENT,mobile_agent_distance,domestic_receive,international_receive,means_receive,DISTRICT,match_key,adm2_name,center_lat,center_lon
10201. Banjul,98. Don?t Know,1,1,NA,10. Banjul South,banjul south,Banjul South,13.44985037,-16.57600354
10201. Banjul,98. Don?t Know,0,0,NA,10. Banjul South,banjul south,Banjul South,13.44985037,-16.57600354
10201. Banjul,2. 10 to 20 minutes,0,0,NA,10. Banjul South,banjul south,Banjul South,13.44985037,-16.57600354
10201. Banjul,98. Don?t Know,0,0,NA,10. Banjul South,banjul south,Banjul South,13.44985037,-16.57600354
10201. Banjul,98. Don?t Know,0,0,NA,10. Banjul South,banjul south,Banjul South,13.44985037,-16.57600354
10201. Banjul,98. Don?t Know,0,0,NA,10. Banjul South,banjul south,Banjul South,13.44985037,-16.57600354
10201. Banjul,98. Don?t Know,0,0,NA,10. Banjul South,banjul south,Banjul South,13.44985037,-16.57600354
10201. Banjul,1. Less than 10 minutes,0,0,NA,10. Banjul South,banjul south,Banjul South,13.44985037,-16.57600354
11301. Banjul,2. 10 to 20 minutes,1,1,NA,11. Banjul Central,banjul central,Banjul Central,13.45486007,-16.57796874
11301. Banjul,98. Don?t Know,0,0,NA,11. Banjul Central,banjul central,Banjul Central,13.45486007,-16.57796874
11301. Banjul,98. Don?t Know,1,1,NA,11. Banjul Central,banjul central,Banjul Central,13.45486007,-16.57796874
11301. Banjul,3. 21 to 30 minutes,0,0,NA,11. Banjul Central,banjul central,Banjul Central,13.45486007,-16.57796874
11301. Banjul,98. Don?t Know,0,0,NA,11. Banjul Central,banjul central,Banjul Central,13.45486007,-16.57796874
11301. Banjul,1. Less than 10 minutes,0,1,"2.  Money transfer agencies (Western union, MoneyGram, etc",11. Banjul Central,banjul central,Banjul Central,13.45486007,-16.57796874
11301. Banjul,98. Don?t Know,0,0,NA,11. Banjul Central,banjul central,Banjul Central,13.45486007,-16.57796874
11301. Banjul,98. Don?t Know,0,0,NA,11. Banjul Central,banjul central,Banjul Central,13.45486007,-16.57796874
12201. Banjul,98. Don?t Know,0,0,NA,12. Banjul North,banjul north,Banjul North,13.45895337,-16.59217102
12201. Banjul,98. Don?t Know,0,0,NA,12. Banjul North,banjul north,Banjul North,13.45895337,-16.59217102
12201. Banjul,98. Don?t Know,1,1,NA,12. Banjul North,banjul north,Banjul North,13.45895337,-16.59217102
12201. Banjul,98. Don?t Know,1,1,NA,12. Banjul North,banjul north,Banjul North,13.45895337,-16.59217102
12201. Banjul,3. 21 to 30 minutes,0,0,NA,12. Banjul North,banjul north,Banjul North,13.45895337,-16.59217102
12201. Banjul,2. 10 to 20 minutes,0,0,NA,12. Banjul North,banjul north,Banjul North,13.45895337,-16.59217102
12201. Banjul,98. Don?t Know,1,1,NA,12. Banjul North,banjul north,Banjul North,13.45895337,-16.59217102
12201. Banjul,98. Don?t Know,0,0,NA,12. Banjul North,banjul north,Banjul North,13.45895337,-16.59217102
20101. BAKAU NEW TOWN,2. 10 to 20 minutes,0,0,NA,20. Bakau,bakau,Bakau,13.47206292,-16.66330587
20101. BAKAU NEW TOWN,2. 10 to 20 minutes,1,0,NA,20. Bakau,bakau,Bakau,13.47206292,-16.66330587
20101. BAKAU NEW TOWN,2. 10 to 20 minutes,0,1,"2.  Money transfer agencies (Western union, MoneyGram, etc",20. Bakau,bakau,Bakau,13.47206292,-16.66330587
20101. BAKAU NEW TOWN,98. Don?t Know,1,1,NA,20. Bakau,bakau,Bakau,13.47206292,-16.66330587
20101. BAKAU NEW TOWN,2. 10 to 20 minutes,0,0,NA,20. Bakau,bakau,Bakau,13.47206292,-16.66330587
20101. BAKAU NEW TOWN,98. Don?t Know,0,0,NA,20. Bakau,bakau,Bakau,13.47206292,-16.66330587
20101. BAKAU NEW TOWN,98. Don?t Know,0,1,"2.  Money transfer agencies (Western union, MoneyGram, etc",20. Bakau,bakau,Bakau,13.47206292,-16.66330587
20101. BAKAU NEW TOWN,2. 10 to 20 minutes,0,0,NA,20. Bakau,bakau,Bakau,13.47206292,-16.66330587
21202. EBO TOWN,98. Don?t Know,0,0,NA,21. Jeshwang,jeshwang,Jeshwang,13.45134406,-16.66727722
