"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13_1a","fin13_1b","fin13_1c","fin13_1d","fin13_1e","fin13_1f","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Gambia, The","GMB",180762676,0.496558394070504,2,48,2,4,1,2,1,1,0,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,2,2,1,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,5,1,1,1,4,2,,1,0,4,4,4,4,1,5,1,1,1,0
"Gambia, The","GMB",116822573,1.87877911757088,1,33,1,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,3,2,3,3,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,4,1,,0,0,4,4,4,4,4,5,1,2,0,0
"Gambia, The","GMB",192766570,0.220205562269706,2,62,2,3,1,2,1,1,0,1,1,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,1,1,2,,,1,1,2,2,1,,1,1,1,1,4,1,,0,1,4,4,1,2,2,5,1,2,1,0
"Gambia, The","GMB",210512025,0.939389558785442,1,26,1,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,3,1,,0,1,4,4,4,4,4,5,1,1,0,0
"Gambia, The","GMB",114960103,0.504958184000407,1,33,1,2,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,4,5,2,,,,1,2,1,2,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,3,2,1,3,,0,0,4,4,4,4,2,3,1,2,0,0
"Gambia, The","GMB",116733516,0.777770637946124,2,26,2,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,2,3,3,3,,0,0,4,4,4,4,4,5,1,1,0,0
"Gambia, The","GMB",129328115,0.574275619511349,2,35,2,5,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,4,1,4,3,,2,,0,0,4,4,4,4,4,5,1,1,0,0
"Gambia, The","GMB",195892622,1.46226374371639,1,23,2,2,1,2,1,1,0,,,1,2,,1,2,2,,,,2,,2,,2,,,,,,,,,,2,2,1,1,2,2,,,,,1,3,,2,2,2,,,,2,2,,1,1,2,1,1,8,,,1,2,3,3,1,2,1,2,1,2,2,,,1,2,,,,,,,2,1,2,2,2,2,2,,,,,,1,1,1,1,2,1,,1,1,4,4,3,4,2,3,1,1,1,1
"Gambia, The","GMB",198212569,0.185539238362971,2,30,2,5,1,2,1,1,0,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,1,,2,2,2,2,,1,2,2,2,,,,2,,,,1,2,2,,,1,1,1,1,2,,,1,2,2,,,,,2,,,,,,3,1,3,2,2,1,,1,1,1,4,4,4,2,5,1,1,1,0
"Gambia, The","GMB",149315565,1.83015140432104,1,70,1,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,4,4,4,5,2,2,0,0
