"hid","lga","subdivision","district","area","sname","ea","hhnum","s11q1_1","s11q1_2","s11q1_3","s11q1_4","s11q1_5","s11q1_6","s11q1_7","s11q1_8","s11q1_9","s11q2","s11q3_2","s11q3_3","s11q3_4","s11q3_5"
"1101101000110003101",1,101,10,1,10001,10003,1,3,13,,,,,,,,2,10,13,,
"1101101000110003102",1,101,10,1,10001,10003,2,3,,,,,,,,,1,5,10,13,
"1101101000110003103",1,101,10,1,10001,10003,3,3,5,17,,,,,,,2,12,,,
"1101101000110003104",1,101,10,1,10001,10003,4,3,17,,,,,,,,1,99,,,
"1101101000110003105",1,101,10,1,10001,10003,5,3,5,9,13,,,,,,2,7,13,,
"1101101000110003106",1,101,10,1,10001,10003,6,1,3,7,13,17,,,,,2,2,7,12,13
"1101101000110003107",1,101,10,1,10001,10003,7,3,4,7,8,13,17,,,,2,3,4,12,13
"1101101000110003108",1,101,10,1,10001,10003,8,3,4,8,14,17,,,,,2,2,3,5,13
"1101101000110003109",1,101,10,1,10001,10003,9,1,3,7,13,17,,,,,2,3,7,12,13
"1101101000110003110",1,101,10,1,10001,10003,10,3,9,13,,,,,,,2,3,5,,
"1101101000110003111",1,101,10,1,10001,10003,11,1,3,9,17,,,,,,2,,,,
"1101101000110003112",1,101,10,1,10001,10003,12,1,3,9,10,12,13,15,,,2,5,7,13,
"1101101000110003113",1,101,10,1,10001,10003,13,1,3,5,7,9,12,13,15,17,2,12,13,,
"1101101000110003114",1,101,10,1,10001,10003,14,1,3,9,10,11,12,15,,,2,5,7,,
"1101101000110003115",1,101,10,1,10001,10003,15,1,3,9,11,13,,,,,2,5,7,,
"1101101000110003116",1,101,10,1,10001,10003,16,3,,,,,,,,,1,,,,
"1101101000110003117",1,101,10,1,10001,10003,17,3,,,,,,,,,1,5,,,
"1101101000110003118",1,101,10,1,10001,10003,18,99,,,,,,,,,2,5,,,
"1101101000110003119",1,101,10,1,10001,10003,19,5,,,,,,,,,2,,,,
"1101101000110003120",1,101,10,1,10001,10003,20,3,9,13,,,,,,,2,5,12,,
"1101101000110004101",1,101,10,1,10001,10004,1,3,13,,,,,,,,2,4,13,,
"1101101000110004102",1,101,10,1,10001,10004,2,3,13,,,,,,,,1,7,,,
"1101101000110004103",1,101,10,1,10001,10004,3,3,13,15,,,,,,,1,3,5,,
"1101101000110004104",1,101,10,1,10001,10004,4,3,17,,,,,,,,2,5,13,,
