"quarter","lga","district","district1","settlement","area","eanum","select_hhold","hid","s13q1","s13q2","s13q3","s13q4","s13q5","s13q6_a","s13q6_b","s13q6_c","s13q6_d","s13q6_e","s13q7","s13q8","s13q9_a","s13q9_b","s13q10_a","s13q10_b","s13q10_c","s13q10_d","s13q10_e","s13q10_f","s13q11_a","s13q11_b","s13q11_c","s13q11_d","s13q11_e","s13q11_f","s13q11_g","s13q12","s13q13_1","s13q13_2"
1,1,10,10,10101,1,10101,1,"1010101",2,3,3,5000,1,1,1,1,1,3,3,3,3,1,2,1,2,2,1,,2,2,2,2,1,,,1,9,10
1,1,10,10,10101,1,10101,3,"1010103",2,1,2,6000,2,3,3,3,3,1,2,3,1,4,2,2,2,2,2,2,2,2,2,2,2,2,,1,9,5
1,1,10,10,10101,1,10101,4,"1010104",2,2,2,10000,2,3,2,2,1,2,2,2,1,2,2,2,2,2,2,,2,2,2,2,1,1,,1,1,9
1,1,10,10,10101,1,10101,5,"1010105",2,1,2,20000,3,3,3,3,3,3,1,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,,,5,3
1,1,10,10,10101,1,10101,6,"1010106",1,2,1,10000,2,1,1,1,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,9
1,1,10,10,10101,1,10101,7,"1010107",3,1,3,15000,2,1,1,1,1,1,3,2,1,4,2,2,2,2,2,2,2,2,2,2,2,1,,1,9,5
1,1,10,10,10101,1,10101,8,"1010108",3,2,3,10000,2,1,3,3,3,1,3,2,2,4,2,1,2,2,2,,,2,2,2,2,1,1,1,1,5
1,1,10,10,10101,1,10101,9,"1010109",2,2,3,2500,2,1,1,1,2,1,3,2,2,2,2,2,2,2,1,,2,2,2,2,1,,,1,1,2
1,1,10,10,10101,1,10101,10,"1010110",2,3,3,20000,2,1,1,1,1,1,3,1,3,2,2,2,2,2,2,,2,2,2,2,1,,,1,1,9
1,1,10,10,10101,1,10101,11,"1010111",1,1,1,1000,2,3,3,3,1,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,9
1,1,10,10,10101,1,10101,12,"1010112",3,2,3,6000,2,1,1,1,1,1,3,2,1,3,2,2,2,2,1,2,,2,2,2,1,2,,1,1,10
1,1,10,10,10101,1,10101,13,"1010113",3,2,3,10000,2,1,1,1,1,1,3,2,1,3,2,2,2,2,2,2,2,2,2,2,1,,,1,7,9
1,1,10,10,10101,1,10101,14,"1010114",2,3,1,5000,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,,1,9,1
1,1,10,10,10101,1,10101,15,"1010115",1,1,1,2000,3,4,4,3,3,3,1,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,2
1,1,10,10,10101,1,10101,16,"1010116",1,1,1,2000,3,3,3,3,1,2,1,2,3,4,2,1,2,2,2,2,2,2,2,2,2,2,,1,1,3
1,1,10,10,10101,1,10101,17,"1010117",1,2,1,1500,2,3,1,3,3,3,1,3,3,4,2,2,2,2,2,,2,2,2,2,2,9,,1,1,2
1,1,10,10,10101,1,10101,18,"1010118",3,2,3,3500,1,1,1,1,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,8
1,1,10,10,10101,1,10101,19,"1010119",3,3,3,9000,1,1,1,1,1,1,3,2,1,1,2,2,1,2,1,,2,2,1,2,1,,,1,5,9
1,1,10,10,10101,1,10101,20,"1010120",4,2,4,10000,1,1,1,1,1,1,4,2,1,2,2,1,1,2,1,,2,2,2,2,1,2,,1,1,3
2,1,10,10,10101,1,10103,1,"1010301",3,2,3,1000,2,2,2,2,1,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,9
2,1,10,10,10101,1,10103,2,"1010302",2,2,2,20000,2,3,1,3,1,1,2,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,,1,5,9
2,1,10,10,10101,1,10103,3,"1010303",1,2,1,7000,3,4,4,4,4,4,2,3,1,3,2,2,2,2,2,2,1,1,2,2,2,2,,1,5,9
2,1,10,10,10101,1,10103,4,"1010304",2,2,2,7000,1,1,1,1,1,1,2,1,2,4,2,2,2,2,1,2,2,2,2,2,1,2,,1,9,5
2,1,10,10,10101,1,10103,5,"1010305",2,2,2,5000,2,2,3,4,1,2,3,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,10
2,1,10,10,10101,1,10103,6,"1010306",2,2,2,5000,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,,1,9,5
2,1,10,10,10101,1,10103,7,"1010307",3,3,3,15000,2,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,9
2,1,10,10,10101,1,10103,8,"1010308",2,2,2,5000,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,,2,1,9
2,1,10,10,10101,1,10103,9,"1010309",3,3,3,15000,2,2,2,2,4,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,9
2,1,10,10,10101,1,10103,10,"1010310",3,2,3,15000,3,3,3,1,1,1,3,2,1,4,2,2,2,2,2,2,2,2,2,2,1,2,,1,1,8
2,1,10,10,10101,1,10103,11,"1010311",3,2,3,15000,2,1,1,1,1,1,3,2,2,4,2,2,2,2,2,2,2,2,2,2,1,2,,1,1,8
2,1,10,10,10101,1,10103,12,"1010312",2,2,2,6000,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,1,1,9
2,1,10,10,10101,1,10103,13,"1010313",1,2,1,15000,3,3,3,3,3,1,2,3,2,2,2,1,1,2,1,2,2,2,1,2,2,2,,1,6,9
2,1,10,10,10101,1,10103,14,"1010314",3,3,3,5000,1,1,1,1,1,1,3,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,,1,1,9
2,1,10,10,10101,1,10103,15,"1010315",3,2,3,10000,2,1,1,1,1,1,3,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,,1,1,7
2,1,10,10,10101,1,10103,16,"1010316",2,2,2,10000,2,1,3,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,,2,1,9
2,1,10,10,10101,1,10103,17,"1010317",3,1,3,10000,3,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,9
