"quarter","lga","district","district1","settlement","area","eanum","select_hhold","hid","s7cq1","idnum","s7cq2","s7cq4","s7cq5a","s7cq5b"
1,1,10,10,10101,1,10101,1,"1010101",1,1,1,2,,
1,1,10,10,10101,1,10101,1,"1010101",,2,1,2,,
1,1,10,10,10101,1,10101,3,"1010103",1,2,1,1,25,1
1,1,10,10,10101,1,10101,4,"1010104",1,3,1,1,200,2
1,1,10,10,10101,1,10101,5,"1010105",1,1,1,1,300,2
1,1,10,10,10101,1,10101,6,"1010106",1,2,1,1,300,3
1,1,10,10,10101,1,10101,7,"1010107",2,,,,,
1,1,10,10,10101,1,10101,8,"1010108",1,1,1,1,,2
1,1,10,10,10101,1,10101,9,"1010109",1,1,1,1,1000,2
1,1,10,10,10101,1,10101,10,"1010110",2,,,,,
1,1,10,10,10101,1,10101,11,"1010111",2,,,,,
1,1,10,10,10101,1,10101,12,"1010112",1,1,1,2,,
1,1,10,10,10101,1,10101,13,"1010113",1,1,1,2,,
1,1,10,10,10101,1,10101,14,"1010114",1,1,1,2,,
1,1,10,10,10101,1,10101,15,"1010115",2,,,,,
1,1,10,10,10101,1,10101,16,"1010116",2,,,,,
1,1,10,10,10101,1,10101,17,"1010117",2,,,,,
1,1,10,10,10101,1,10101,18,"1010118",2,,,,,
1,1,10,10,10101,1,10101,19,"1010119",1,1,1,2,,
1,1,10,10,10101,1,10101,19,"1010119",,2,1,2,,
1,1,10,10,10101,1,10101,20,"1010120",1,1,1,2,,
1,1,10,10,10101,1,10101,20,"1010120",,2,1,2,,
2,1,10,10,10101,1,10103,1,"1010301",2,,,,,
2,1,10,10,10101,1,10103,2,"1010302",2,,,,,
2,1,10,10,10101,1,10103,3,"1010303",1,2,1,1,500,2
2,1,10,10,10101,1,10103,4,"1010304",2,,,,,
2,1,10,10,10101,1,10103,5,"1010305",1,1,1,2,,
2,1,10,10,10101,1,10103,6,"1010306",2,,,,,
2,1,10,10,10101,1,10103,7,"1010307",1,1,1,2,,
2,1,10,10,10101,1,10103,8,"1010308",2,,,,,
2,1,10,10,10101,1,10103,9,"1010309",1,2,1,2,,
2,1,10,10,10101,1,10103,9,"1010309",,3,1,2,,
2,1,10,10,10101,1,10103,10,"1010310",2,,,,,
2,1,10,10,10101,1,10103,11,"1010311",1,2,1,1,350,3
2,1,10,10,10101,1,10103,12,"1010312",1,1,1,2,,
2,1,10,10,10101,1,10103,13,"1010313",1,1,1,2,,
2,1,10,10,10101,1,10103,13,"1010313",,2,1,1,100,2
2,1,10,10,10101,1,10103,14,"1010314",1,1,1,1,1000,3
2,1,10,10,10101,1,10103,14,"1010314",,2,1,1,1000,3
2,1,10,10,10101,1,10103,14,"1010314",,3,1,2,,
2,1,10,10,10101,1,10103,14,"1010314",,4,1,1,1000,3
2,1,10,10,10101,1,10103,14,"1010314",,5,1,1,1000,3
2,1,10,10,10101,1,10103,15,"1010315",1,1,1,2,,
2,1,10,10,10101,1,10103,15,"1010315",,2,1,2,,
2,1,10,10,10101,1,10103,16,"1010316",1,1,1,2,,
2,1,10,10,10101,1,10103,16,"1010316",,3,1,2,,
2,1,10,10,10101,1,10103,17,"1010317",2,,,,,
2,1,10,10,10101,1,10103,18,"1010318",2,,,,,
2,1,10,10,10101,1,10103,19,"1010319",1,1,1,2,,
2,1,10,10,10101,1,10103,19,"1010319",,2,1,2,,
2,1,10,10,10101,1,10103,20,"1010320",2,,,,,
3,1,10,10,10101,1,10105,1,"1010501",1,,1,2,,
3,1,10,10,10101,1,10105,2,"1010502",1,,1,2,,
3,1,10,10,10101,1,10105,2,"1010502",,,1,1,600,3
3,1,10,10,10101,1,10105,3,"1010503",1,,1,1,20,1
3,1,10,10,10101,1,10105,4,"1010504",2,,,,,
3,1,10,10,10101,1,10105,5,"1010505",2,,,,,
3,1,10,10,10101,1,10105,6,"1010506",1,,1,2,,
3,1,10,10,10101,1,10105,6,"1010506",,,,,,
3,1,10,10,10101,1,10105,7,"1010507",1,,1,2,,
3,1,10,10,10101,1,10105,7,"1010507",,,1,1,300,3
3,1,10,10,10101,1,10105,7,"1010507",,,1,2,,
3,1,10,10,10101,1,10105,7,"1010507",,,1,2,,
3,1,10,10,10101,1,10105,8,"1010508",1,,1,1,20,1
3,1,10,10,10101,1,10105,9,"1010509",2,,,,,
3,1,10,10,10101,1,10105,10,"1010510",1,,1,1,1000,3
3,1,10,10,10101,1,10105,11,"1010511",1,,1,2,,
3,1,10,10,10101,1,10105,12,"1010512",1,,1,1,25,1
3,1,10,10,10101,1,10105,13,"1010513",1,,1,1,200,3
3,1,10,10,10101,1,10105,14,"1010514",2,,,,,
3,1,10,10,10101,1,10105,15,"1010515",1,,1,1,200,2
3,1,10,10,10101,1,10105,16,"1010516",1,,1,2,,
3,1,10,10,10101,1,10105,17,"1010517",2,,,,,
3,1,10,10,10101,1,10105,18,"1010518",1,,1,1,500,3
3,1,10,10,10101,1,10105,19,"1010519",1,,1,2,,
3,1,10,10,10101,1,10105,19,"1010519",,,,,,
3,1,10,10,10101,1,10105,20,"1010520",1,,1,2,,
4,1,10,10,10201,1,10205,1,"1020501",2,,,,,
4,1,10,10,10201,1,10205,2,"1020502",1,1,1,2,,
4,1,10,10,10201,1,10205,3,"1020503",2,,,,,
4,1,10,10,10201,1,10205,4,"1020504",2,,,,,
4,1,10,10,10201,1,10205,5,"1020505",2,,,,,
4,1,10,10,10201,1,10205,6,"1020506",1,1,1,2,,
4,1,10,10,10201,1,10205,6,"1020506",,1,1,1,50,2
4,1,10,10,10201,1,10205,6,"1020506",,5,1,2,,
4,1,10,10,10201,1,10205,7,"1020507",2,,,,,
4,1,10,10,10201,1,10205,8,"1020508",1,4,1,2,,
4,1,10,10,10201,1,10205,9,"1020509",2,,,,,
4,1,10,10,10201,1,10205,10,"1020510",2,,,,,
4,1,10,10,10201,1,10205,11,"1020511",1,1,1,2,,
4,1,10,10,10201,1,10205,12,"1020512",1,1,1,2,,
4,1,10,10,10201,1,10205,13,"1020513",1,1,1,2,,
4,1,10,10,10201,1,10205,14,"1020514",1,1,1,2,,
4,1,10,10,10201,1,10205,15,"1020515",1,1,1,2,,
4,1,10,10,10201,1,10205,15,"1020515",,3,1,2,,
4,1,10,10,10201,1,10205,15,"1020515",,4,1,2,,
4,1,10,10,10201,1,10205,16,"1020516",2,,,,,
4,1,10,10,10201,1,10205,17,"1020517",2,,,,,
4,1,10,10,10201,1,10205,18,"1020518",2,,,,,
4,1,10,10,10201,1,10205,19,"1020519",1,3,1,2,,
4,1,10,10,10201,1,10205,19,"1020519",,4,1,2,,
4,1,10,10,10201,1,10205,20,"1020520",2,,,,,
1,1,10,10,10201,1,10208,1,"1020801",1,1,1,2,,
1,1,10,10,10201,1,10208,1,"1020801",,2,1,2,,
1,1,10,10,10201,1,10208,1,"1020801",,4,1,2,,
1,1,10,10,10201,1,10208,1,"1020801",,5,1,2,,
1,1,10,10,10201,1,10208,1,"1020801",,7,1,2,,
1,1,10,10,10201,1,10208,2,"1020802",1,1,1,2,,
1,1,10,10,10201,1,10208,3,"1020803",2,,,,,
1,1,10,10,10201,1,10208,4,"1020804",1,1,1,2,,
1,1,10,10,10201,1,10208,4,"1020804",,1,2,2,,
1,1,10,10,10201,1,10208,5,"1020805",1,1,1,2,,
1,1,10,10,10201,1,10208,5,"1020805",,2,1,2,,
1,1,10,10,10201,1,10208,6,"1020806",2,,,,,
1,1,10,10,10201,1,10208,7,"1020807",1,1,1,2,,
1,1,10,10,10201,1,10208,8,"1020808",1,1,1,1,50,1
1,1,10,10,10201,1,10208,9,"1020809",2,,,,,
1,1,10,10,10201,1,10208,10,"1020810",1,1,1,2,,
1,1,10,10,10201,1,10208,10,"1020810",,2,1,2,,
1,1,10,10,10201,1,10208,11,"1020811",1,1,1,2,,
1,1,10,10,10201,1,10208,12,"1020812",2,,,,,
1,1,10,10,10201,1,10208,13,"1020813",2,,,,,
1,1,10,10,10201,1,10208,14,"1020814",1,1,1,2,,
